miragea
10 0.5
703.907898 -1321.488770 -262.697693 0.000000 -123.240509 0.000000
207.916916 -1600.446655 -177.823730 0.000000 -170.027161 0.000000 False
454.367554 -1514.399414 -156.680664 0.000000 87.188171 0.000000 False
-29.064270 -1829.024170 -173.637085 0.000000 -123.915482 0.000000 False
-657.721924 -2035.292725 -171.793030 0.000000 -152.361145 0.000000 False
-937.165161 -2427.212158 -171.027283 0.000000 -143.460846 0.000000 False
-17.122986 -2083.223145 -163.040649 0.000000 -87.206039 0.000000 False
-1165.574463 -1457.082031 -159.714600 0.000000 163.718262 0.000000 False
32.107895 -1923.297241 -167.231323 0.000000 0.661926 0.000000 False
-1237.489746 -1213.418335 -170.203552 0.000000 142.201202 0.000000 False
-699.193481 -1299.833862 -158.502319 0.000000 117.649506 0.000000 False

