Infernob
10 0.5
264.434937 1609.876221 118.556717 0.000000 62.629623 0.000000
896.445312 2693.187744 135.648834 0.000000 64.504517 0.000000 False
657.378784 2553.093262 160.227173 0.000000 101.025116 0.000000 False
525.720703 3037.706787 215.749649 0.000000 96.559174 0.000000 False
105.186676 3117.580322 170.388153 0.000000 130.644958 0.000000 False
121.672729 2885.529541 159.956009 0.000000 145.759033 0.000000 False
118.613571 2692.049072 158.545425 0.000000 164.797333 0.000000 False
1125.811157 2794.318604 130.082123 0.000000 34.797134 0.000000 False
405.970734 2542.420654 159.064102 0.000000 -161.932983 0.000000 False
802.797546 2255.263184 136.031479 0.000000 44.242630 0.000000 False
834.645569 1920.702759 146.858551 0.000000 -1.451569 0.000000 False

