Infernoa
10 0.5
956.862610 541.259033 102.164444 0.000000 -18.743362 0.000000
2043.059326 257.823975 361.620880 -8.174062 47.471439 0.000000 False
1876.970215 430.850006 223.856918 -0.452036 92.373810 0.000000 False
1952.491333 524.073364 224.031250 1.835825 89.403961 0.000000 False
1904.903076 196.516556 251.916290 0.000000 -177.646179 0.000000 False
2459.028320 -67.458923 104.705727 0.000000 -23.352478 0.000000 False
1595.817261 21.129477 132.031250 0.000000 -57.306404 0.000000 False
2005.972290 -151.449097 252.155746 0.000000 -30.822144 0.000000 False
1574.704956 1146.645630 165.295990 0.000000 64.986191 0.000000 False
1337.822021 739.516235 280.457367 0.000000 131.393402 0.000000 False
1359.833496 1147.924194 193.853455 0.000000 92.429016 0.000000 False

