nukea
14 0.5
-423.357605 -769.427002 -415.468750 0.000000 -57.202377 0.000000
23.181889 -1074.977783 -415.968750 0.000000 -15.037537 0.000000 False
-39.212646 -1155.505005 -415.468750 0.000000 -35.993958 0.000000 False
107.968529 -968.308716 -415.968750 0.000000 -6.402618 0.000000 False
123.021454 -770.810486 -287.968750 0.000000 34.560577 0.000000 False
-26.305969 -434.694763 -415.468750 0.000000 66.381805 0.000000 False
172.246155 -177.712830 -415.968750 0.000000 55.157898 0.000000 False
146.882034 -508.443970 -368.929443 0.000000 -17.684555 0.000000 False
506.968872 457.949371 -481.280640 0.000000 62.589798 0.000000 False
239.968277 -1030.035522 -415.968750 0.000000 -29.939804 0.000000 False
585.374207 278.238647 -366.312988 0.000000 36.246979 0.000000 False
967.968750 8.333770 -415.968750 0.000000 -0.060089 0.000000 False
864.308960 -117.905273 -415.968750 0.000000 -11.955526 0.000000 False
304.028931 320.457703 -415.968750 -0.000000 89.899849 0.000000 False
521.604614 -144.742249 -415.968750 0.000000 -56.291199 0.000000 False

