nukeb
14 0.5
-298.578979 -1767.083862 -415.968750 0.000000 -42.845642 0.000000
469.755615 -2276.275635 -415.968750 0.000000 -27.800217 0.000000 False
634.903503 -2090.760010 -415.501038 0.000000 -4.224579 0.000000 False
1876.796143 -2024.680542 -415.968750 0.000000 0.742950 0.000000 False
1568.950684 -1795.518799 -416.070312 0.000000 11.376343 0.000000 False
1362.065796 -1688.500366 -415.733032 0.000000 18.711090 0.000000 False
819.761169 -1818.010986 -407.897461 0.000000 23.348694 0.000000 False
310.467316 -1805.189087 -415.968750 0.000000 93.571930 0.000000 False
277.715027 -1917.313354 -417.129883 0.000000 125.820587 0.0000 False
1236.532715 -1439.205933 -415.968750 0.000000 43.994064 0.000000 False
1326.567139 -2384.029297 -423.007202 0.000000 10.504639 0.000000 False
1680.090942 -1675.456299 -415.968750 0.000000 35.747452 0.000000 False
1374.434692 -2242.415771 -415.968750 0.000000 19.680969 0.000000 False
1299.316162 -509.941467 -130.499695 0.000000 75.215149 0.000000 False
853.183655 -1650.578003 -415.468750 0.000000 110.064453 0.00000 False

