anua
15 0.5
1187.666504 563.445923 -148.968750 -0.000000 84.611557 0.000000
1678.708862 1084.693359 -141.559998 0.000000 33.520660 0.000000 False
1430.350952 814.778320 -151.968750 0.000000 -11.185791 0.000000 False
1656.995239 1431.270630 -151.968750 0.000000 69.592560 0.00000 False
1485.046265 1083.909790 -145.968750 0.000000 93.362488 0.000000 False
1679.094604 1761.846313 -81.159424 0.000000 80.905029 0.000000 False
1598.789673 1419.587646 -152.390320 0.000000 95.690582 0.000000 False
1523.888306 2135.813232 -148.525208 0.000000 91.771881 0.000000 False
1302.462769 2154.433105 -150.432373 0.000000 111.137024 0.000000 False
1265.505981 1932.911865 -189.904236 0.000000 125.767700 0.000000 False
1039.327148 2208.013184 -32.711609 0.000000 125.650970 0.000000 False
941.097717 2147.535400 -46.102722 0.000000 136.517822 0.000000 False
1105.694214 1875.767700 -190.354614 0.000000 137.370972 0.000000 False
811.222229 1668.646118 -65.823425 0.000000 175.170135 0.000000 False
684.515686 1343.839600 -62.518066 0.000000 -157.042358 0.000000 False
1258.042969 1498.929932 -151.929382 0.000000 -113.072662 0.00000 False

