anub
13 0.5
-1309.406616 -38.771057 -2.237793 0.000000 139.103394 0.000000
-1539.632690 670.616760 37.431347 0.000000 86.371765 0.000000 False
-1279.150146 830.152039 5.120887 0.000000 63.630402 0.000000 False
-994.376831 1028.067627 37.838875 0.000000 54.180786 0.000000 False
-1178.746094 730.241394 4.057147 0.000000 49.989502 0.000000 False
-849.931335 1074.248901 39.704037 0.000000 40.481186 0.000000 False
-988.773682 615.746460 11.202003 0.000000 28.974731 0.000000 False
-784.542175 654.065369 37.764618 0.000000 27.267029 0.000000 False
-1155.618530 322.397064 -12.487793 0.000000 -8.650024 0.000000 False
-812.169373 730.723999 38.723591 0.000000 33.437576 0.000000 False
-690.133545 403.659912 -62.460022 0.000000 11.666107 0.000000 False
-1081.603638 1468.468140 -25.973694 0.000000 68.811157 0.000000 False
-714.441650 258.886200 -57.235657 0.000000 -30.246048 0.00000 False
-978.243225 1034.154419 32.822643 0.000000 97.704163 0.000000 False

