anca
13 0.5
-1195.684204 -1167.393311 27.057926 0.000000 84.547363 0.00000
-262.654846 -282.693359 62.893932 0.000000 35.457336 0.000000 False
-67.315613 -697.965576 174.601868 0.000000 9.475021 0.00000 False
-813.163086 -870.523071 43.853680 0.000000 -5.893127 0.000000 False
-8.545288 -866.661255 166.900894 0.000000 -6.242294 0.000000 False
-501.914429 602.461914 150.183228 0.000000 80.862457 0.00000 False
-462.566589 319.893616 165.915726 0.000000 58.275269 0.000000 False
-704.374207 -282.614868 54.391167 0.000000 96.366241 0.000000 False
-1361.166138 58.306419 109.883728 0.000000 148.776184 0.00000 False
-1139.733032 -225.515076 107.413879 0.000000 175.474304 0.00000 False
-1513.404663 -294.864258 105.610512 0.000000 -173.134232 0.000000 False
-1196.437134 -300.000854 109.514877 0.000000 -144.435196 0.00000 False
-1418.348511 173.162674 121.885345 0.000000 136.240784 0.000000 False
-1610.872314 1111.195190 56.409451 0.000000 105.485565 0.000000 False

