ancb
14 0.5
948.230835 -1079.026245 10.358688 -0.000000 33.090527 0.000000
1239.637939 -362.063354 92.483925 0.000000 77.524689 0.000000 False
737.732971 -568.908569 120.478035 0.000000 132.030609 0.00000 False
255.881119 -783.261475 153.240234 0.000000 170.526703 0.00000 False
547.246643 -872.473206 117.830086 0.000000 -170.433502 0.00000 False
1173.517212 203.256958 125.492638 0.000000 90.875122 0.000000 False
786.703064 381.357880 125.210617 0.000000 119.671326 0.000000 False
745.580444 26.946259 133.442261 0.000000 142.877533 0.000000 False
663.758057 351.102509 121.042900 0.000000 133.524414 0.000000 False
724.631531 -277.031372 138.192139 0.000000 -170.474854 0.00000 False
1162.195923 732.420044 118.919258 0.000000 91.263092 0.000000 False
567.391907 795.387451 120.557884 0.000000 118.215302 0.000000 False
1324.900146 474.124603 136.847488 0.000000 58.839340 0.000000 False
485.670715 126.299706 155.389572 0.000000 -176.877823 0.00000 False
1199.967529 253.401703 131.031250 0.000000 -5.698120 0.000000 False

